"","protein1","protein2"
"4627824","Tim-3","Fibronectin"
"4627839","Tim-3","iNOS"
"4627987","Tim-3","NF-kB p65"
"4628006","Tim-3","CD15"
"4628018","Tim-3","Ki-67"
"4628049","Tim-3","p53"
"4628061","Tim-3","CD27"
"4628122","Tim-3","IL-1b"
"4628157","Tim-3","CD123"
"4628159","Tim-3","CD4"
"4628215","Tim-3","VISTA"
"4628223","Tim-3","CTLA4"
"4628244","Tim-3","4-1BB"
"4628248","Tim-3","IL-18"
"4628269","Tim-3","EpCAM"
"4628293","Tim-3","CD3"
"4628303","Tim-3","CD68"
"4628306","Tim-3","TCF7"
"4628352","Tim-3","Vimentin"
"4628361","Tim-3","CD31"
"4628376","Tim-3","ICAM1"
"4628378","Tim-3","IDO1"
"4628396","Tim-3","GZMA"
"4975535","ICOS","ICAM1"
"4975561","ICOS","CD31"
"4975562","ICOS","GZMA"
"4975601","ICOS","IDO1"
"4975607","ICOS","CD38"
"4975659","ICOS","CD34"
"4975667","ICOS","IL-18"
"4975684","ICOS","CCR7"
"4975692","ICOS","EpCAM"
"4975704","ICOS","CD68"
"4975714","ICOS","CD3"
"4975763","ICOS","TCF7"
"4975783","ICOS","EGFR"
"4975812","ICOS","CD4"
"4975828","ICOS","B7-H3"
"4975865","ICOS","VISTA"
"4975888","ICOS","4-1BB"
"4975904","ICOS","PD-L1"
"4975919","ICOS","CTLA4"
"4975953","ICOS","IL-1b"
"4975991","ICOS","PD-L2"
"4976030","ICOS","CD123"
"4976067","ICOS","NF-kB p65"
"4976082","ICOS","Ki-67"
"4976086","ICOS","CD45"
"4976109","ICOS","LAG3"
"4976115","ICOS","CD15"
"4976128","ICOS","p53"
"4976183","ICOS","CD27"
"4976198","ICOS","Her2"
"4976226","ICOS","CD127"
"4976248","ICOS","Tim-3"
"4976324","ICOS","pan-RAS"
"4976348","ICOS","Fibronectin"
"4976464","ICOS","CD40"
"4976518","ICOS","FOXP3"
"4976521","ICOS","GZMB"
"4976573","ICOS","HLA-DR"
"5003086","B7-H3","CD38"
"5003119","B7-H3","CD34"
"5003129","B7-H3","CCR7"
"5003178","B7-H3","EGFR"
"5003243","B7-H3","PD-L1"
"5003281","B7-H3","PD-L2"
"5003336","B7-H3","CD45"
"5003348","B7-H3","LAG3"
"5003359","B7-H3","ICOS"
"5003391","B7-H3","Her2"
"5003408","B7-H3","CD127"
"5003420","B7-H3","Tim-3"
"5003459","B7-H3","pan-RAS"
"5003533","B7-H3","CD40"
"5003581","B7-H3","GZMB"
"5003602","B7-H3","HLA-DR"
"5003630","B7-H3","ICAM1"
"5003639","B7-H3","CD31"
"5003645","B7-H3","GZMA"
"5003666","B7-H3","IDO1"
"5003698","B7-H3","IL-18"
"5003713","B7-H3","EpCAM"
"5003720","B7-H3","CD68"
"5003729","B7-H3","CD3"
"5003752","B7-H3","TCF7"
"5003777","B7-H3","CD4"
"5003802","B7-H3","VISTA"
"5003810","B7-H3","4-1BB"
"5003822","B7-H3","CTLA4"
"5003844","B7-H3","IL-1b"
"5003878","B7-H3","CD123"
"5003895","B7-H3","NF-kB p65"
"5003903","B7-H3","Ki-67"
"5003915","B7-H3","CD15"
"5003921","B7-H3","p53"
"5003948","B7-H3","CD27"
"5004035","B7-H3","Fibronectin"
"5004047","B7-H3","iNOS"
"5004108","B7-H3","FOXP3"
"5379385","iNOS","PD-L2"
"5379502","iNOS","PD-L1"
"5379510","iNOS","EGFR"
"5379528","iNOS","B7-H3"
"5379631","iNOS","CD34"
"5379636","iNOS","CCR7"
"5379653","iNOS","SMA"
"5379680","iNOS","CD38"
"5379746","iNOS","GZMB"
"5379801","iNOS","CD40"
"5379984","iNOS","pan-RAS"
"5380004","iNOS","CD127"
"5380008","iNOS","Tim-3"
"5380055","iNOS","FABP4"
"5380064","iNOS","Her2"
"5380099","iNOS","CD45"
"5380112","iNOS","LAG3"
"5380197","iNOS","IL-1b"
"5380255","iNOS","CTLA4"
"5380284","iNOS","CD4"
"5380336","iNOS","CD68"
"5380381","iNOS","IL-18"
"5380429","iNOS","IDO1"
"5380480","iNOS","Vimentin"
"5380506","iNOS","ICAM1"
"5380516","iNOS","CD31"
"5380594","iNOS","FOXP3"
"5380645","iNOS","Fibronectin"
"5380779","iNOS","p53"
"5380834","iNOS","NF-kB p65"
"5380854","iNOS","CD15"
"5410725","CD123","IL-1b"
"5410746","CD123","PD-L2"
"5410790","CD123","EGFR"
"5410809","CD123","CD4"
"5410835","CD123","B7-H3"
"5410880","CD123","4-1BB"
"5410891","CD123","CTLA4"
"5410893","CD123","PD-L1"
"5410919","CD123","IL-18"
"5410925","CD123","CD34"
"5410929","CD123","CCR7"
"5410936","CD123","EpCAM"
"5410957","CD123","CD68"
"5410973","CD123","CD3"
"5410992","CD123","TCF7"
"5411042","CD123","ICAM1"
"5411050","CD123","CD31"
"5411064","CD123","GZMA"
"5411077","CD123","IDO1"
"5411096","CD123","CD38"
"5411126","CD123","CD40"
"5411160","CD123","FOXP3"
"5411174","CD123","GZMB"
"5411222","CD123","HLA-DR"
"5411230","CD123","Fibronectin"
"5411351","CD123","CD127"
"5411354","CD123","Tim-3"
"5411421","CD123","pan-RAS"
"5411444","CD123","CD45"
"5411451","CD123","Ki-67"
"5411458","CD123","LAG3"
"5411464","CD123","CD15"
"5411477","CD123","ICOS"
"5411496","CD123","p53"
"5411532","CD123","Her2"
"5411539","CD123","CD27"
"6045454","TCF7","IL-1b"
"6045489","TCF7","CD123"
"6045564","TCF7","CD4"
"6045588","TCF7","CTLA4"
"6045591","TCF7","VISTA"
"6045632","TCF7","EpCAM"
"6045647","TCF7","IL-18"
"6045673","TCF7","CD68"
"6045681","TCF7","CD3"
"6045687","TCF7","ICAM1"
"6045707","TCF7","CD31"
"6045712","TCF7","Vimentin"
"6045758","TCF7","GZMA"
"6045777","TCF7","IDO1"
"6045791","TCF7","FOXP3"
"6045889","TCF7","Fibronectin"
"6046030","TCF7","Ki-67"
"6046057","TCF7","NF-kB p65"
"6046073","TCF7","CD27"
"6046086","TCF7","p53"
"6046164","TCF7","PD-L2"
"6046179","TCF7","B7-H3"
"6046203","TCF7","EGFR"
"6046225","TCF7","PD-L1"
"6046259","TCF7","CCR7"
"6046288","TCF7","CD34"
"6046380","TCF7","CD38"
"6046445","TCF7","CD40"
"6046462","TCF7","HLA-DR"
"6046475","TCF7","GZMB"
"6046572","TCF7","Tim-3"
"6046604","TCF7","CD127"
"6046626","TCF7","pan-RAS"
"6046664","TCF7","CD45"
"6046674","TCF7","LAG3"
"6046709","TCF7","FABP4"
"6046717","TCF7","Her2"
"6046734","TCF7","ICOS"
"6454807","Fibronectin","GZMB"
"6454892","Fibronectin","HLA-DR"
"6454912","Fibronectin","CD40"
"6455051","Fibronectin","ICOS"
"6455107","Fibronectin","FABP4"
"6455142","Fibronectin","Her2"
"6455231","Fibronectin","CD45"
"6455259","Fibronectin","LAG3"
"6455348","Fibronectin","pan-RAS"
"6455420","Fibronectin","CD127"
"6455444","Fibronectin","Tim-3"
"6455563","Fibronectin","PD-L1"
"6455606","Fibronectin","EGFR"
"6455692","Fibronectin","B7-H3"
"6455736","Fibronectin","PD-L2"
"6456011","Fibronectin","CD38"
"6456337","Fibronectin","CD34"
"6456381","Fibronectin","CCR7"
"6456398","Fibronectin","SMA"
"6456618","Fibronectin","iNOS"
"6456890","Fibronectin","FOXP3"
"6456911","Fibronectin","p53"
"6456997","Fibronectin","CD27"
"6457060","Fibronectin","NF-kB p65"
"6457092","Fibronectin","Ki-67"
"6457140","Fibronectin","CD15"
"6457447","Fibronectin","4-1BB"
"6457498","Fibronectin","CTLA4"
"6457567","Fibronectin","CD4"
"6457692","Fibronectin","CD123"
"6457801","Fibronectin","IL-1b"
"6457849","Fibronectin","GZMA"
"6457912","Fibronectin","IDO1"
"6458003","Fibronectin","Vimentin"
"6458084","Fibronectin","ICAM1"
"6458132","Fibronectin","CD31"
"6458140","Fibronectin","CD68"
"6458174","Fibronectin","CD3"
"6458242","Fibronectin","TCF7"
"6458301","Fibronectin","IL-18"
"6458350","Fibronectin","EpCAM"
"6789038","CD15","EGFR"
"6789055","CD15","B7-H3"
"6789081","CD15","PD-L1"
"6789122","CD15","PD-L2"
"6789207","CD15","CD38"
"6789212","CD15","CD34"
"6789230","CD15","SMA"
"6789240","CD15","CCR7"
"6789350","CD15","CD40"
"6789380","CD15","GZMB"
"6789416","CD15","LAG3"
"6789425","CD15","CD45"
"6789442","CD15","ICOS"
"6789456","CD15","Her2"
"6789469","CD15","CD127"
"6789491","CD15","Tim-3"
"6789507","CD15","pan-RAS"
"6789522","CD15","CD4"
"6789562","CD15","CTLA4"
"6789586","CD15","IL-1b"
"6789618","CD15","CD123"
"6789631","CD15","Vimentin"
"6789645","CD15","CD31"
"6789646","CD15","ICAM1"
"6789659","CD15","IDO1"
"6789661","CD15","GZMA"
"6789691","CD15","IL-18"
"6789701","CD15","EpCAM"
"6789718","CD15","CD68"
"6789750","CD15","Fibronectin"
"6789761","CD15","iNOS"
"6789816","CD15","FOXP3"
"6789890","CD15","Ki-67"
"6789908","CD15","p53"
"6789915","CD15","CD27"
"7489262","Ki-67","Fibronectin"
"7489398","Ki-67","FOXP3"
"7489457","Ki-67","p53"
"7489481","Ki-67","CD27"
"7489510","Ki-67","NF-kB p65"
"7489533","Ki-67","CD15"
"7489709","Ki-67","CTLA4"
"7489746","Ki-67","CD4"
"7489842","Ki-67","CD123"
"7489900","Ki-67","IL-1b"
"7489906","Ki-67","IDO1"
"7489943","Ki-67","GZMA"
"7489996","Ki-67","Vimentin"
"7490004","Ki-67","CD31"
"7490025","Ki-67","ICAM1"
"7490037","Ki-67","CD3"
"7490052","Ki-67","CD68"
"7490060","Ki-67","TCF7"
"7490125","Ki-67","EpCAM"
"7490285","Ki-67","GZMB"
"7490301","Ki-67","HLA-DR"
"7490351","Ki-67","CD40"
"7490404","Ki-67","ICOS"
"7490414","Ki-67","Her2"
"7490473","Ki-67","LAG3"
"7490485","Ki-67","CD45"
"7490529","Ki-67","pan-RAS"
"7490549","Ki-67","CD127"
"7490594","Ki-67","Tim-3"
"7490648","Ki-67","PD-L1"
"7490698","Ki-67","EGFR"
"7490727","Ki-67","B7-H3"
"7490761","Ki-67","PD-L2"
"7490900","Ki-67","CD38"
"7491040","Ki-67","CD34"
"7491064","Ki-67","SMA"
"7491078","Ki-67","CCR7"
"8036812","CD40","CD38"
"8036866","CD40","CCR7"
"8036909","CD40","CD34"
"8036966","CD40","B7-H3"
"8037009","CD40","EGFR"
"8037053","CD40","PD-L1"
"8037177","CD40","PD-L2"
"8037197","CD40","CD45"
"8037213","CD40","LAG3"
"8037257","CD40","Her2"
"8037277","CD40","ICOS"
"8037302","CD40","Tim-3"
"8037348","CD40","CD127"
"8037376","CD40","pan-RAS"
"8037583","CD40","HLA-DR"
"8037599","CD40","GZMB"
"8037623","CD40","ICAM1"
"8037632","CD40","CD31"
"8037731","CD40","GZMA"
"8037740","CD40","IDO1"
"8037773","CD40","EpCAM"
"8037799","CD40","IL-18"
"8037830","CD40","TCF7"
"8037854","CD40","CD68"
"8037861","CD40","CD3"
"8037905","CD40","CD4"
"8037929","CD40","4-1BB"
"8037940","CD40","CTLA4"
"8037957","CD40","VISTA"
"8037988","CD40","IL-1b"
"8038031","CD40","CD123"
"8038076","CD40","Ki-67"
"8038083","CD40","CD15"
"8038109","CD40","NF-kB p65"
"8038137","CD40","CD27"
"8038151","CD40","p53"
"8038278","CD40","iNOS"
"8038304","CD40","Fibronectin"
"8038390","CD40","FOXP3"
"8574746","FOXP3","TCF7"
"8574788","FOXP3","CD3"
"8574805","FOXP3","CD68"
"8574815","FOXP3","EpCAM"
"8574838","FOXP3","IL-18"
"8574902","FOXP3","IDO1"
"8574949","FOXP3","GZMA"
"8574956","FOXP3","CD31"
"8574977","FOXP3","ICAM1"
"8575024","FOXP3","Vimentin"
"8575053","FOXP3","CD123"
"8575113","FOXP3","IL-1b"
"8575148","FOXP3","CTLA4"
"8575176","FOXP3","4-1BB"
"8575199","FOXP3","VISTA"
"8575240","FOXP3","CD4"
"8575418","FOXP3","CD27"
"8575467","FOXP3","p53"
"8575480","FOXP3","CD15"
"8575501","FOXP3","Ki-67"
"8575523","FOXP3","NF-kB p65"
"8575737","FOXP3","iNOS"
"8575760","FOXP3","Fibronectin"
"8575841","FOXP3","SMA"
"8575850","FOXP3","CCR7"
"8575869","FOXP3","CD34"
"8575928","FOXP3","CD38"
"8576077","FOXP3","PD-L2"
"8576148","FOXP3","PD-L1"
"8576222","FOXP3","B7-H3"
"8576267","FOXP3","EGFR"
"8576288","FOXP3","pan-RAS"
"8576357","FOXP3","Tim-3"
"8576375","FOXP3","CD127"
"8576399","FOXP3","Her2"
"8576421","FOXP3","FABP4"
"8576458","FOXP3","ICOS"
"8576475","FOXP3","LAG3"
"8576496","FOXP3","CD45"
"8576539","FOXP3","HLA-DR"
"8576588","FOXP3","GZMB"
"8576656","FOXP3","CD40"
"9157433","PD-L1","CD38"
"9157485","PD-L1","SMA"
"9157507","PD-L1","CCR7"
"9157513","PD-L1","CD34"
"9157664","PD-L1","B7-H3"
"9157716","PD-L1","EGFR"
"9157902","PD-L1","PD-L2"
"9157923","PD-L1","LAG3"
"9157945","PD-L1","CD45"
"9157998","PD-L1","Her2"
"9158018","PD-L1","FABP4"
"9158051","PD-L1","ICOS"
"9158084","PD-L1","Tim-3"
"9158087","PD-L1","CD127"
"9158128","PD-L1","pan-RAS"
"9158354","PD-L1","CD40"
"9158367","PD-L1","HLA-DR"
"9158426","PD-L1","GZMB"
"9158444","PD-L1","CD31"
"9158451","PD-L1","ICAM1"
"9158479","PD-L1","Vimentin"
"9158562","PD-L1","IDO1"
"9158579","PD-L1","GZMA"
"9158606","PD-L1","EpCAM"
"9158631","PD-L1","IL-18"
"9158668","PD-L1","TCF7"
"9158687","PD-L1","CD3"
"9158701","PD-L1","CD68"
"9158754","PD-L1","CD4"
"9158804","PD-L1","CTLA4"
"9158811","PD-L1","4-1BB"
"9158850","PD-L1","VISTA"
"9158879","PD-L1","IL-1b"
"9158941","PD-L1","CD123"
"9158995","PD-L1","CD15"
"9159005","PD-L1","Ki-67"
"9159025","PD-L1","NF-kB p65"
"9159062","PD-L1","CD27"
"9159113","PD-L1","p53"
"9159315","PD-L1","iNOS"
"9159341","PD-L1","Fibronectin"
"9159426","PD-L1","FOXP3"
"9667571","VISTA","CD45"
"9667584","VISTA","LAG3"
"9667610","VISTA","CD27"
"9667617","VISTA","Her2"
"9667623","VISTA","p53"
"9667629","VISTA","ICOS"
"9667649","VISTA","Tim-3"
"9667670","VISTA","CD127"
"9667683","VISTA","pan-RAS"
"9667763","VISTA","FOXP3"
"9667767","VISTA","CD40"
"9667789","VISTA","HLA-DR"
"9667795","VISTA","GZMB"
"9667819","VISTA","CD31"
"9667838","VISTA","CD38"
"9667851","VISTA","GZMA"
"9667864","VISTA","IDO1"
"9667872","VISTA","CCR7"
"9667892","VISTA","CD34"
"9667915","VISTA","TCF7"
"9667923","VISTA","CD68"
"9667929","VISTA","CD3"
"9667945","VISTA","B7-H3"
"9667964","VISTA","EGFR"
"9667976","VISTA","CD4"
"9667980","VISTA","4-1BB"
"9667987","VISTA","PD-L1"
"9667996","VISTA","CTLA4"
"9668028","VISTA","IL-1b"
"9668079","VISTA","PD-L2"
"9712837","HLA-DR","IDO1"
"9712856","HLA-DR","GZMA"
"9712909","HLA-DR","Vimentin"
"9712914","HLA-DR","CD31"
"9712931","HLA-DR","ICAM1"
"9712945","HLA-DR","CD3"
"9712952","HLA-DR","CD68"
"9712957","HLA-DR","TCF7"
"9712978","HLA-DR","IL-18"
"9713005","HLA-DR","EpCAM"
"9713036","HLA-DR","VISTA"
"9713047","HLA-DR","CTLA4"
"9713066","HLA-DR","4-1BB"
"9713074","HLA-DR","CD4"
"9713155","HLA-DR","CD123"
"9713207","HLA-DR","IL-1b"
"9713236","HLA-DR","p53"
"9713249","HLA-DR","CD27"
"9713269","HLA-DR","NF-kB p65"
"9713297","HLA-DR","Ki-67"
"9713453","HLA-DR","Fibronectin"
"9713542","HLA-DR","FOXP3"
"9713608","HLA-DR","CD38"
"9713704","HLA-DR","CD34"
"9713728","HLA-DR","SMA"
"9713736","HLA-DR","CCR7"
"9713783","HLA-DR","PD-L1"
"9713815","HLA-DR","EGFR"
"9713841","HLA-DR","B7-H3"
"9713873","HLA-DR","PD-L2"
"9713951","HLA-DR","ICOS"
"9713965","HLA-DR","Her2"
"9714011","HLA-DR","LAG3"
"9714026","HLA-DR","CD45"
"9714073","HLA-DR","pan-RAS"
"9714092","HLA-DR","CD127"
"9714128","HLA-DR","Tim-3"
"9714230","HLA-DR","GZMB"
"9714293","HLA-DR","CD40"
"9937165","PD-L2","CD15"
"9937170","PD-L2","LAG3"
"9937177","PD-L2","Ki-67"
"9937191","PD-L2","CD45"
"9937196","PD-L2","NF-kB p65"
"9937226","PD-L2","CD27"
"9937236","PD-L2","Her2"
"9937273","PD-L2","p53"
"9937293","PD-L2","ICOS"
"9937326","PD-L2","Tim-3"
"9937331","PD-L2","CD127"
"9937371","PD-L2","pan-RAS"
"9937457","PD-L2","iNOS"
"9937488","PD-L2","Fibronectin"
"9937564","PD-L2","FOXP3"
"9937608","PD-L2","CD40"
"9937621","PD-L2","HLA-DR"
"9937682","PD-L2","GZMB"
"9937699","PD-L2","CD31"
"9937707","PD-L2","ICAM1"
"9937735","PD-L2","Vimentin"
"9937774","PD-L2","CD38"
"9937806","PD-L2","IDO1"
"9937820","PD-L2","GZMA"
"9937835","PD-L2","SMA"
"9937845","PD-L2","EpCAM"
"9937858","PD-L2","CCR7"
"9937866","PD-L2","CD34"
"9937876","PD-L2","IL-18"
"9937916","PD-L2","TCF7"
"9937942","PD-L2","CD3"
"9937961","PD-L2","CD68"
"9937998","PD-L2","B7-H3"
"9938023","PD-L2","CD4"
"9938043","PD-L2","EGFR"
"9938060","PD-L2","PD-L1"
"9938062","PD-L2","CTLA4"
"9938072","PD-L2","4-1BB"
"9938096","PD-L2","VISTA"
"9938126","PD-L2","IL-1b"
"9938186","PD-L2","CD123"
"10155633","NF-kB p65","GZMB"
"10155710","NF-kB p65","HLA-DR"
"10155730","NF-kB p65","CD40"
"10155808","NF-kB p65","ICOS"
"10155886","NF-kB p65","Her2"
"10155943","NF-kB p65","CD45"
"10155972","NF-kB p65","LAG3"
"10156069","NF-kB p65","pan-RAS"
"10156126","NF-kB p65","CD127"
"10156137","NF-kB p65","Tim-3"
"10156255","NF-kB p65","PD-L1"
"10156267","NF-kB p65","EGFR"
"10156316","NF-kB p65","B7-H3"
"10156378","NF-kB p65","PD-L2"
"10156634","NF-kB p65","CD38"
"10156893","NF-kB p65","CD34"
"10156908","NF-kB p65","CCR7"
"10156937","NF-kB p65","SMA"
"10157033","NF-kB p65","Fibronectin"
"10157067","NF-kB p65","iNOS"
"10157273","NF-kB p65","FOXP3"
"10157304","NF-kB p65","p53"
"10157364","NF-kB p65","CD27"
"10157432","NF-kB p65","Ki-67"
"10157697","NF-kB p65","4-1BB"
"10157708","NF-kB p65","CTLA4"
"10157755","NF-kB p65","CD4"
"10157978","NF-kB p65","IL-1b"
"10158014","NF-kB p65","GZMA"
"10158036","NF-kB p65","IDO1"
"10158127","NF-kB p65","Vimentin"
"10158183","NF-kB p65","ICAM1"
"10158199","NF-kB p65","CD31"
"10158230","NF-kB p65","CD68"
"10158257","NF-kB p65","CD3"
"10158285","NF-kB p65","TCF7"
"10158326","NF-kB p65","IL-18"
"10158371","NF-kB p65","EpCAM"
"11117951","CD45","CD40"
"11117984","CD45","HLA-DR"
"11118077","CD45","GZMB"
"11118332","CD45","Tim-3"
"11118346","CD45","CD127"
"11118397","CD45","pan-RAS"
"11118496","CD45","LAG3"
"11118606","CD45","Her2"
"11118635","CD45","FABP4"
"11118687","CD45","ICOS"
"11118865","CD45","PD-L2"
"11118945","CD45","B7-H3"
"11119000","CD45","EGFR"
"11119014","CD45","PD-L1"
"11119124","CD45","SMA"
"11119154","CD45","CCR7"
"11119164","CD45","CD34"
"11119463","CD45","CD38"
"11119555","CD45","FOXP3"
"11119794","CD45","iNOS"
"11119845","CD45","Fibronectin"
"11120185","CD45","CD15"
"11120196","CD45","Ki-67"
"11120220","CD45","NF-kB p65"
"11120262","CD45","CD27"
"11120353","CD45","p53"
"11120417","CD45","IL-1b"
"11120518","CD45","CD123"
"11120640","CD45","CD4"
"11120714","CD45","CTLA4"
"11120723","CD45","4-1BB"
"11120787","CD45","VISTA"
"11120809","CD45","EpCAM"
"11120861","CD45","IL-18"
"11120914","CD45","TCF7"
"11120959","CD45","CD3"
"11120972","CD45","CD68"
"11121012","CD45","CD31"
"11121028","CD45","ICAM1"
"11121086","CD45","Vimentin"
"11121209","CD45","IDO1"
"11121221","CD45","GZMA"
"11747915","IDO1","FABP4"
"11747930","IDO1","Her2"
"11747946","IDO1","ICOS"
"11747979","IDO1","CD45"
"11747991","IDO1","LAG3"
"11748030","IDO1","pan-RAS"
"11748063","IDO1","Tim-3"
"11748093","IDO1","CD127"
"11748207","IDO1","HLA-DR"
"11748224","IDO1","GZMB"
"11748264","IDO1","CD40"
"11748284","IDO1","CD38"
"11748428","IDO1","CCR7"
"11748457","IDO1","CD34"
"11748482","IDO1","PD-L1"
"11748525","IDO1","B7-H3"
"11748563","IDO1","EGFR"
"11748608","IDO1","PD-L2"
"11748670","IDO1","CD27"
"11748683","IDO1","p53"
"11748710","IDO1","Ki-67"
"11748724","IDO1","CD15"
"11748736","IDO1","NF-kB p65"
"11748870","IDO1","iNOS"
"11748887","IDO1","Fibronectin"
"11748955","IDO1","FOXP3"
"11749016","IDO1","GZMA"
"11749039","IDO1","ICAM1"
"11749057","IDO1","CD31"
"11749062","IDO1","Vimentin"
"11749112","IDO1","TCF7"
"11749114","IDO1","CD68"
"11749123","IDO1","CD3"
"11749152","IDO1","EpCAM"
"11749173","IDO1","IL-18"
"11749178","IDO1","4-1BB"
"11749195","IDO1","CTLA4"
"11749202","IDO1","VISTA"
"11749260","IDO1","CD4"
"11749264","IDO1","CD123"
"11749307","IDO1","IL-1b"
"12140727","Vimentin","HLA-DR"
"12140802","Vimentin","GZMB"
"12140871","Vimentin","Her2"
"12140894","Vimentin","FABP4"
"12140962","Vimentin","LAG3"
"12140981","Vimentin","CD45"
"12141022","Vimentin","pan-RAS"
"12141114","Vimentin","Tim-3"
"12141117","Vimentin","CD127"
"12141167","Vimentin","PD-L1"
"12141331","Vimentin","EGFR"
"12141396","Vimentin","PD-L2"
"12141719","Vimentin","SMA"
"12141754","Vimentin","CD34"
"12141908","Vimentin","iNOS"
"12141944","Vimentin","Fibronectin"
"12142044","Vimentin","FOXP3"
"12142171","Vimentin","p53"
"12142195","Vimentin","CD15"
"12142209","Vimentin","Ki-67"
"12142229","Vimentin","NF-kB p65"
"12142423","Vimentin","CTLA4"
"12142533","Vimentin","CD4"
"12142647","Vimentin","IL-1b"
"12142744","Vimentin","IDO1"
"12142769","Vimentin","GZMA"
"12142798","Vimentin","CD31"
"12142814","Vimentin","ICAM1"
"12142893","Vimentin","TCF7"
"12142925","Vimentin","CD3"
"12142951","Vimentin","CD68"
"12142993","Vimentin","EpCAM"
"12382099","CD31","Fibronectin"
"12382145","CD31","iNOS"
"12382332","CD31","FOXP3"
"12382373","CD31","p53"
"12382446","CD31","CD27"
"12382488","CD31","NF-kB p65"
"12382513","CD31","Ki-67"
"12382521","CD31","CD15"
"12382724","CD31","VISTA"
"12382783","CD31","4-1BB"
"12382792","CD31","CTLA4"
"12382860","CD31","CD4"
"12382980","CD31","CD123"
"12383069","CD31","IL-1b"
"12383124","CD31","GZMA"
"12383133","CD31","IDO1"
"12383226","CD31","Vimentin"
"12383273","CD31","ICAM1"
"12383317","CD31","CD68"
"12383331","CD31","CD3"
"12383373","CD31","TCF7"
"12383413","CD31","IL-18"
"12383456","CD31","EpCAM"
"12383671","CD31","GZMB"
"12383735","CD31","HLA-DR"
"12383769","CD31","CD40"
"12383843","CD31","ICOS"
"12383879","CD31","FABP4"
"12383901","CD31","Her2"
"12383982","CD31","CD45"
"12384003","CD31","LAG3"
"12384086","CD31","pan-RAS"
"12384135","CD31","CD127"
"12384145","CD31","Tim-3"
"12384246","CD31","PD-L1"
"12384258","CD31","EGFR"
"12384306","CD31","B7-H3"
"12384364","CD31","PD-L2"
"12384567","CD31","CD38"
"12384808","CD31","CD34"
"12384820","CD31","CCR7"
"12384843","CD31","SMA"
"13471517","CTLA4","NF-kB p65"
"13471532","CTLA4","Ki-67"
"13471559","CTLA4","CD15"
"13471568","CTLA4","p53"
"13471611","CTLA4","CD27"
"13471683","CTLA4","FOXP3"
"13471755","CTLA4","Fibronectin"
"13471776","CTLA4","iNOS"
"13471874","CTLA4","IL-18"
"13471900","CTLA4","EpCAM"
"13471911","CTLA4","CD68"
"13471921","CTLA4","CD3"
"13471957","CTLA4","TCF7"
"13471967","CTLA4","Vimentin"
"13471998","CTLA4","ICAM1"
"13472023","CTLA4","CD31"
"13472027","CTLA4","GZMA"
"13472066","CTLA4","IDO1"
"13472122","CTLA4","IL-1b"
"13472179","CTLA4","CD123"
"13472235","CTLA4","CD4"
"13472274","CTLA4","VISTA"
"13472290","CTLA4","4-1BB"
"13472347","CTLA4","CD127"
"13472361","CTLA4","Tim-3"
"13472429","CTLA4","pan-RAS"
"13472485","CTLA4","CD45"
"13472503","CTLA4","LAG3"
"13472517","CTLA4","ICOS"
"13472576","CTLA4","Her2"
"13472578","CTLA4","CD40"
"13472637","CTLA4","GZMB"
"13472684","CTLA4","HLA-DR"
"13472826","CTLA4","CD34"
"13472840","CTLA4","CCR7"
"13472843","CTLA4","SMA"
"13472985","CTLA4","CD38"
"13473066","CTLA4","PD-L2"
"13473117","CTLA4","EGFR"
"13473156","CTLA4","B7-H3"
"13473216","CTLA4","PD-L1"
