"","protein1","protein2"
"1147466","4-1BB","ICOS"
"1147487","4-1BB","CD27"
"1147492","4-1BB","Her2"
"1147500","4-1BB","NF-kB p65"
"1147512","4-1BB","CD45"
"1147518","4-1BB","LAG3"
"1147549","4-1BB","pan-RAS"
"1147563","4-1BB","CD127"
"1147576","4-1BB","Tim-3"
"1147626","4-1BB","Fibronectin"
"1147652","4-1BB","GZMB"
"1147668","4-1BB","HLA-DR"
"1147676","4-1BB","CD40"
"1147696","4-1BB","FOXP3"
"1177270","CCR7","FOXP3"
"1177324","CCR7","Fibronectin"
"1177341","CCR7","iNOS"
"1177466","CCR7","p53"
"1177502","CCR7","CD27"
"1177528","CCR7","NF-kB p65"
"1177535","CCR7","Ki-67"
"1177547","CCR7","CD15"
"1177586","CCR7","CD123"
"1177622","CCR7","IL-1b"
"1177641","CCR7","VISTA"
"1177665","CCR7","4-1BB"
"1177672","CCR7","CTLA4"
"1177703","CCR7","CD4"
"1177737","CCR7","CD68"
"1177744","CCR7","CD3"
"1177763","CCR7","TCF7"
"1177791","CCR7","IL-18"
"1177806","CCR7","EpCAM"
"1177822","CCR7","GZMA"
"1177838","CCR7","IDO1"
"1177915","CCR7","ICAM1"
"1177923","CCR7","CD31"
"1177937","CCR7","GZMB"
"1177974","CCR7","HLA-DR"
"1177981","CCR7","CD40"
"1178137","CCR7","pan-RAS"
"1178166","CCR7","CD127"
"1178169","CCR7","Tim-3"
"1178191","CCR7","ICOS"
"1178217","CCR7","FABP4"
"1178234","CCR7","Her2"
"1178267","CCR7","CD45"
"1178282","CCR7","LAG3"
"1178302","CCR7","PD-L2"
"1178422","CCR7","PD-L1"
"1178432","CCR7","EGFR"
"1178462","CCR7","B7-H3"
"1178576","CCR7","CD34"
"1178591","CCR7","SMA"
"1178628","CCR7","CD38"
"1271139","CD68","GZMA"
"1271158","CD68","IDO1"
"1271228","CD68","Vimentin"
"1271261","CD68","ICAM1"
"1271276","CD68","CD31"
"1271311","CD68","CD3"
"1271327","CD68","TCF7"
"1271361","CD68","IL-18"
"1271380","CD68","EpCAM"
"1271402","CD68","VISTA"
"1271427","CD68","4-1BB"
"1271437","CD68","CTLA4"
"1271475","CD68","CD4"
"1271560","CD68","CD123"
"1271617","CD68","IL-1b"
"1271656","CD68","p53"
"1271711","CD68","CD27"
"1271738","CD68","NF-kB p65"
"1271748","CD68","Ki-67"
"1271758","CD68","CD15"
"1271958","CD68","Fibronectin"
"1271985","CD68","iNOS"
"1272119","CD68","FOXP3"
"1272167","CD68","CD38"
"1272346","CD68","CD34"
"1272353","CD68","CCR7"
"1272377","CD68","SMA"
"1272432","CD68","PD-L1"
"1272440","CD68","EGFR"
"1272477","CD68","B7-H3"
"1272523","CD68","PD-L2"
"1272622","CD68","ICOS"
"1272662","CD68","FABP4"
"1272690","CD68","Her2"
"1272726","CD68","CD45"
"1272753","CD68","LAG3"
"1272816","CD68","pan-RAS"
"1272852","CD68","CD127"
"1272857","CD68","Tim-3"
"1273014","CD68","GZMB"
"1273086","CD68","HLA-DR"
"1273098","CD68","CD40"
"1525551","pan-RAS","PD-L1"
"1525647","pan-RAS","B7-H3"
"1525903","pan-RAS","CD38"
"1526094","pan-RAS","CD34"
"1526150","pan-RAS","CCR7"
"1526336","pan-RAS","GZMB"
"1526412","pan-RAS","CD40"
"1526486","pan-RAS","ICOS"
"1526524","pan-RAS","Her2"
"1526539","pan-RAS","FABP4"
"1526590","pan-RAS","LAG3"
"1526614","pan-RAS","CD45"
"1526833","pan-RAS","CTLA4"
"1526861","pan-RAS","4-1BB"
"1527029","pan-RAS","CD123"
"1527115","pan-RAS","IDO1"
"1527254","pan-RAS","Vimentin"
"1527272","pan-RAS","CD31"
"1527311","pan-RAS","CD3"
"1527329","pan-RAS","CD68"
"1527564","pan-RAS","Fibronectin"
"1527597","pan-RAS","iNOS"
"1527750","pan-RAS","FOXP3"
"1527845","pan-RAS","CD27"
"1527884","pan-RAS","NF-kB p65"
"1527913","pan-RAS","CD15"
"1527946","pan-RAS","Ki-67"
"1528207","pan-RAS","EGFR"
"1528302","pan-RAS","PD-L2"
"1528684","pan-RAS","SMA"
"1528923","pan-RAS","HLA-DR"
"1529260","pan-RAS","CD127"
"1529302","pan-RAS","Tim-3"
"1529351","pan-RAS","VISTA"
"1529400","pan-RAS","CD4"
"1529631","pan-RAS","IL-1b"
"1529668","pan-RAS","GZMA"
"1529803","pan-RAS","ICAM1"
"1529834","pan-RAS","TCF7"
"1529883","pan-RAS","IL-18"
"1529909","pan-RAS","EpCAM"
"1530271","pan-RAS","p53"
"1532583","FABP4","Tim-3"
"1532588","FABP4","CD127"
"1532605","FABP4","pan-RAS"
"1532649","FABP4","CD45"
"1532674","FABP4","Her2"
"1532870","FABP4","SMA"
"1532886","FABP4","CCR7"
"1532892","FABP4","CD34"
"1533141","FABP4","EGFR"
"1533150","FABP4","PD-L1"
"1533336","FABP4","p53"
"1533357","FABP4","FOXP3"
"1533436","FABP4","iNOS"
"1533459","FABP4","Fibronectin"
"1533509","FABP4","EpCAM"
"1533528","FABP4","IL-18"
"1533548","FABP4","TCF7"
"1533571","FABP4","CD68"
"1533584","FABP4","CD31"
"1533592","FABP4","ICAM1"
"1533621","FABP4","Vimentin"
"1533650","FABP4","IDO1"
"1533682","FABP4","IL-1b"
"1533775","FABP4","CD4"
"2158329","IL-1b","Fibronectin"
"2158386","IL-1b","iNOS"
"2158672","IL-1b","FOXP3"
"2158729","IL-1b","p53"
"2158828","IL-1b","CD27"
"2158894","IL-1b","NF-kB p65"
"2158929","IL-1b","Ki-67"
"2158950","IL-1b","CD15"
"2159240","IL-1b","VISTA"
